City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Tshikapa,CD,2022-02-07 03:00:39,-6.4167,20.8,69.04,95,100,1.23
95,Arraial Do Cabo,BR,2022-02-07 03:00:40,-22.9661,-42.0278,75.36,92,0,18.75
96,Pundaguitan,PH,2022-02-07 03:00:43,6.3711,126.1689,80.6,78,59,18.32
97,Nola,IT,2022-02-07 03:00:43,40.922,14.5329,54.93,81,51,1.99
98,Ponta Do Sol,PT,2022-02-07 02:56:45,32.6667,-17.1,63.23,69,7,10.65
99,Iqaluit,CA,2022-02-07 03:00:44,63.7506,-68.5145,-38.31,65,100,3.04
100,Huoqiu,CN,2022-02-07 03:00:45,32.3394,116.2694,32.27,100,100,10.29
101,Bud,US,2022-02-07 03:00:47,39.447,-86.1758,28.47,84,99,6.22
102,Bambous Virieux,MU,2022-02-07 02:57:32,-20.3428,57.7575,77.25,94,75,3.44
103,Cabedelo,BR,2022-02-07 02:58:04,-6.9811,-34.8339,79.47,73,0,10.18
104,Yulara,AU,2022-02-07 03:00:49,-25.2406,130.9889,89.2,17,0,7.72
105,Vung Tau,VN,2022-02-07 03:00:49,10.346,107.0843,81.43,67,32,7.25
106,Shanghai,CN,2022-02-07 03:00:01,31.2222,121.4581,40.93,75,100,1.99
107,Marawi,PH,2022-02-07 03:00:51,7.9986,124.2928,73.65,49,50,5.3
108,Ayan,RU,2022-02-07 03:00:52,56.45,138.1667,8.04,60,92,5.77
109,San Jose,US,2022-02-07 03:00:53,37.3394,-121.895,60.91,55,0,3.44
110,Vaini,TO,2022-02-07 03:00:54,-21.2,-175.2,76.89,89,100,27.69
111,Griffith,US,2022-02-07 03:00:54,41.5284,-87.4237,30.02,81,0,5.99
112,Torbay,CA,2022-02-07 03:00:55,47.6666,-52.7314,13.57,79,78,4.0
113,Powell River,CA,2022-02-07 03:00:56,49.8496,-124.5361,42.08,87,83,3.15
114,Barcelona,ES,2022-02-07 02:57:37,41.3888,2.159,50.54,67,20,1.01
115,Khani,GE,2022-02-07 03:00:57,41.9563,42.9566,24.37,87,89,5.55
116,Zhangye,CN,2022-02-07 03:00:58,38.9342,100.4517,17.62,61,1,1.12
117,Balad,IQ,2022-02-07 03:00:59,34.0164,44.1453,47.93,49,60,3.22
118,Sobolevo,RU,2022-02-07 03:01:00,54.4299,31.8996,30.06,95,99,14.27
119,Isabela,PH,2022-02-07 03:01:02,6.7085,121.9711,84.81,67,97,9.31
120,Brownsburg,US,2022-02-07 02:59:26,39.8434,-86.3978,27.81,73,96,1.01
121,Shingu,JP,2022-02-07 02:58:03,33.7333,135.9833,43.79,39,89,10.45
122,Teya,RU,2022-02-07 03:01:03,60.3778,92.6267,-1.25,100,93,2.62
123,Pisco,PE,2022-02-07 02:57:24,-13.7,-76.2167,67.01,94,40,5.75
124,Garowe,SO,2022-02-07 03:01:04,8.4054,48.4845,64.33,87,100,9.64
125,Castro,BR,2022-02-07 03:01:04,-24.7911,-50.0119,61.56,84,2,2.1
126,Butaritari,KI,2022-02-07 02:56:17,3.0707,172.7902,81.84,76,71,15.43
127,Lokosovo,RU,2022-02-07 03:01:06,61.1333,74.8167,-5.66,99,34,6.91
128,Lebu,CL,2022-02-07 02:58:12,-37.6167,-73.65,59.22,92,3,15.41
129,Mazamari,PE,2022-02-07 03:01:06,-11.3258,-74.5308,69.31,99,100,1.92
130,Coihueco,CL,2022-02-07 03:01:07,-36.6167,-71.8333,65.39,41,0,2.77
131,Samarai,PG,2022-02-07 02:57:43,-10.6167,150.6667,85.35,70,88,11.61
132,Bethel,US,2022-02-07 03:01:07,41.3712,-73.414,28.65,83,28,1.81
133,Itarema,BR,2022-02-07 02:58:23,-2.9248,-39.9167,78.8,78,2,11.07
134,Ust-Uda,RU,2022-02-07 03:01:08,54.1742,103.0304,15.08,93,100,1.83
135,Severo-Kurilsk,RU,2022-02-07 02:59:32,50.6789,156.125,31.5,83,100,10.07
136,Mackay,AU,2022-02-07 03:02:08,-21.15,149.2,85.68,61,59,16.6
137,Hasaki,JP,2022-02-07 03:02:09,35.7333,140.8333,48.29,34,6,7.05
138,North Bend,US,2022-02-07 03:02:09,43.4065,-124.2243,51.94,98,0,4.61
139,Bagdarin,RU,2022-02-07 02:57:53,54.4333,113.6,5.63,78,82,0.47
140,Akyab,MM,2022-02-07 02:58:54,20.15,92.9,65.71,48,97,5.3
141,Sorong,ID,2022-02-07 03:02:10,-0.8833,131.25,83.64,72,100,8.41
142,Avera,US,2022-02-07 03:01:38,33.194,-82.5271,41.72,54,99,6.71
143,Egvekinot,RU,2022-02-07 02:57:34,66.3167,-179.1667,-13.27,85,1,9.75
144,Tautira,PF,2022-02-07 02:58:55,-17.7333,-149.15,84.22,76,72,19.98
145,Merauke,ID,2022-02-07 03:02:11,-8.4667,140.3333,86.92,63,77,7.47
146,Ust-Nera,RU,2022-02-07 03:02:11,64.5667,143.2,-13.95,81,17,2.64
147,Isangel,VU,2022-02-07 03:02:12,-19.55,169.2667,79.25,92,100,18.48
148,Port Hardy,CA,2022-02-07 03:01:54,50.6996,-127.4199,47.75,87,100,13.94
149,Laguna,US,2022-02-07 03:02:12,38.421,-121.4238,58.32,66,0,4.61
150,College,US,2022-02-07 03:02:13,64.8569,-147.8028,-4.41,77,100,3.33
151,Nanortalik,GL,2022-02-07 03:02:13,60.1432,-45.2371,17.42,62,100,46.19
152,Port Elizabeth,ZA,2022-02-07 03:02:13,-33.918,25.5701,70.92,74,25,3.51
153,Namatanai,PG,2022-02-07 03:02:14,-3.6667,152.4333,85.84,67,100,7.11
154,Oktyabrskoye,RU,2022-02-07 03:02:14,43.0645,44.7417,28.54,80,99,2.24
155,Las Vegas,US,2022-02-07 03:01:38,36.175,-115.1372,59.54,20,0,0.0
156,Sabirabad,AZ,2022-02-07 03:02:15,40.0095,48.4752,35.8,48,0,5.17
157,Lompoc,US,2022-02-07 03:00:08,34.6391,-120.4579,59.18,79,0,1.01
158,Luderitz,NA,2022-02-07 02:58:00,-26.6481,15.1594,67.19,78,40,3.09
159,Constitucion,CL,2022-02-07 03:02:16,-35.3333,-72.4167,57.79,80,0,4.09
160,Road Town,VG,2022-02-07 03:02:16,18.4167,-64.6167,75.99,72,80,22.93
161,Longyearbyen,SJ,2022-02-07 02:59:18,78.2186,15.6401,15.64,73,0,4.61
162,Port Hedland,AU,2022-02-07 03:02:16,-20.3167,118.5667,82.45,83,40,3.44
163,Lorengau,PG,2022-02-07 02:59:35,-2.0226,147.2712,83.64,76,99,7.54
164,Thompson,CA,2022-02-07 02:59:30,55.7435,-97.8558,-7.44,71,100,5.75
165,Carnarvon,AU,2022-02-07 03:01:00,-24.8667,113.6333,76.28,48,6,21.09
166,Kudahuvadhoo,MV,2022-02-07 03:02:17,2.6708,72.8944,81.28,64,20,11.01
167,Guaruja,BR,2022-02-07 03:02:18,-23.9931,-46.2564,80.2,26,99,1.01
168,Kavieng,PG,2022-02-07 03:02:18,-2.5744,150.7967,83.66,71,55,2.68
169,Buin,CL,2022-02-07 03:02:19,-33.7333,-70.75,75.74,57,0,2.48
170,Puerto Baquerizo Moreno,EC,2022-02-07 03:02:19,-0.9,-89.6,73.36,81,0,9.19
171,Zaykovo,RU,2022-02-07 03:02:20,57.5613,62.7568,-7.92,98,45,3.91
172,Byron Bay,AU,2022-02-07 03:02:20,-28.65,153.6167,78.75,61,83,17.47
173,Lufilufi,WS,2022-02-07 03:02:20,-13.8745,-171.5986,82.04,76,100,17.22
174,Wagga Wagga,AU,2022-02-07 03:00:03,-35.1167,147.3667,81.84,26,0,3.65
175,Namibe,AO,2022-02-07 03:02:21,-15.1961,12.1522,72.28,70,95,7.43
176,Vila Velha,BR,2022-02-07 03:02:21,-20.3297,-40.2925,77.95,89,2,3.0
177,Daru,PG,2022-02-07 03:02:22,-9.0763,143.2092,85.17,71,100,3.0
178,Kutum,SD,2022-02-07 03:02:22,14.2,24.6667,46.69,33,21,8.72
179,Morant Bay,JM,2022-02-07 03:02:23,17.8815,-76.4093,68.67,78,4,5.46
180,Nantucket,US,2022-02-07 03:00:49,41.2835,-70.0995,33.01,75,100,14.97
181,High Level,CA,2022-02-07 03:01:25,58.5169,-117.136,34.45,80,55,7.11
182,Tahe,CN,2022-02-07 03:03:23,52.3333,124.7333,9.75,66,90,2.91
183,Bereda,ES,2022-02-07 03:03:24,43.2686,-7.5406,41.0,98,61,1.95
184,Talnakh,RU,2022-02-07 03:03:24,69.4865,88.3972,-28.16,98,56,0.69
185,Pathein,MM,2022-02-07 03:03:25,16.7833,94.7333,80.08,38,43,11.41
186,Novita,CO,2022-02-07 03:03:25,4.9551,-76.6053,72.95,95,62,2.28
187,Riberalta,BO,2022-02-07 03:03:26,-10.9833,-66.1,72.43,98,100,2.37
188,Codrington,AU,2022-02-07 03:03:26,-38.2667,141.9667,83.08,30,0,13.8
189,Narsaq,GL,2022-02-07 03:03:11,60.9167,-46.05,10.62,82,100,5.57
190,Victoria,HK,2022-02-07 02:59:04,22.2855,114.1577,66.96,90,100,1.01
191,Falun,SE,2022-02-07 03:03:27,60.6036,15.626,25.21,94,54,3.11
192,San Patricio,US,2022-02-07 03:03:27,28.017,-97.5169,57.18,83,100,9.93
193,Paamiut,GL,2022-02-07 03:03:11,61.994,-49.6678,10.49,78,100,27.0
194,Berdigestyakh,RU,2022-02-07 03:03:27,62.0989,126.6992,-14.22,95,57,4.25
195,Chingirlau,KZ,2022-02-07 03:03:28,51.095,54.0814,17.62,96,100,8.03
196,Nioro,GM,2022-02-07 03:03:28,13.35,-15.75,73.8,34,0,2.44
197,Prince George,CA,2022-02-07 02:58:29,53.9166,-122.753,40.44,70,0,8.05
198,Praia Da Vitoria,PT,2022-02-07 03:03:29,38.7333,-27.0667,59.76,91,29,17.13
199,Taldan,RU,2022-02-07 03:03:29,53.6667,124.8,4.86,67,100,1.41
200,Wegrow,PL,2022-02-07 03:03:29,52.3995,22.0163,39.63,88,100,18.23
201,Saldanha,ZA,2022-02-07 03:02:09,-33.0117,17.9442,62.47,99,35,7.87
202,Camopi,GF,2022-02-07 03:03:30,3.1655,-52.3158,71.69,99,100,1.95
203,Buala,SB,2022-02-07 03:03:30,-8.145,159.5921,86.63,71,97,12.3
204,Angoche,MZ,2022-02-07 03:02:13,-16.2325,39.9086,73.63,94,94,10.31
205,Bengkulu,ID,2022-02-07 03:03:31,-3.8004,102.2655,81.64,70,99,10.8
206,Pittsfield,US,2022-02-07 03:03:31,42.4501,-73.2454,20.19,84,0,0.0
207,Elat,IL,2022-02-07 03:01:57,29.5581,34.9482,54.41,59,0,6.26
208,Half Moon Bay,US,2022-02-07 03:00:25,37.4636,-122.4286,60.96,68,100,3.0
209,Beyneu,KZ,2022-02-07 03:01:40,45.3167,55.2,28.76,86,87,7.25
210,Forbes,AU,2022-02-07 03:03:32,-33.3833,148.0167,84.92,24,0,9.46
211,San Luis,AR,2022-02-07 03:03:33,-33.295,-66.3356,61.29,34,0,11.27
212,Ivanino,RU,2022-02-07 03:03:33,51.6434,35.5769,29.12,92,100,11.97
213,Abeche,TD,2022-02-07 03:03:33,13.8292,20.8324,60.44,19,0,12.3
214,Sarny,UA,2022-02-07 03:03:34,51.338,26.6019,34.2,98,100,15.14
215,Saint George,US,2022-02-07 03:03:34,37.1041,-113.5841,52.39,26,0,20.71
216,Bilibino,RU,2022-02-07 03:00:31,68.0546,166.4372,-10.97,78,18,4.03
217,Alice Springs,AU,2022-02-07 03:03:17,-23.7,133.8833,87.35,27,0,5.75
218,Srednekolymsk,RU,2022-02-07 03:03:35,67.45,153.6833,-25.64,96,30,1.68
219,Eenhana,NA,2022-02-07 03:03:35,-17.4667,16.3333,66.78,89,100,3.8
220,Sabha,LY,2022-02-07 03:03:36,27.0377,14.4283,52.05,23,49,8.93
221,Rawson,AR,2022-02-07 03:03:36,-43.3002,-65.1023,63.79,49,0,18.57
222,Murovani Kurylivtsi,UA,2022-02-07 03:03:37,48.7235,27.5189,36.91,65,100,10.11
223,Esperance,AU,2022-02-07 03:03:37,-33.8667,121.9,76.84,53,18,28.1
224,Kralendijk,BQ,2022-02-07 03:03:37,12.15,-68.2667,78.78,78,20,10.36
225,Mizdah,LY,2022-02-07 03:03:38,31.4451,12.9801,49.53,36,69,3.67
226,Rio Gallegos,AR,2022-02-07 03:01:59,-51.6226,-69.2181,58.06,69,49,23.78
227,Manzanillo,CU,2022-02-07 03:03:38,20.3433,-77.1167,73.44,70,33,12.1
228,Morgan City,US,2022-02-07 03:03:39,29.6994,-91.2068,44.01,87,0,0.0
229,Ketchikan,US,2022-02-07 03:01:38,55.3422,-131.6461,45.07,87,100,12.66
230,Tasiilaq,GL,2022-02-07 03:03:39,65.6145,-37.6368,21.36,53,100,60.31
231,Bakel,SN,2022-02-07 03:04:40,14.905,-12.4568,73.78,10,0,9.22
232,Barrow,US,2022-02-07 03:04:39,71.2906,-156.7887,-27.38,68,0,14.97
233,Ajdabiya,LY,2022-02-07 03:04:40,30.7554,20.2263,56.03,41,40,6.55
234,Alta Floresta,BR,2022-02-07 03:01:18,-9.8756,-56.0861,72.01,97,95,1.63
235,Yar-Sale,RU,2022-02-07 03:04:41,66.8333,70.8333,-8.99,99,47,9.69
236,Kununurra,AU,2022-02-07 03:04:41,-15.7667,128.7333,87.78,70,100,3.44
237,Kabakovo,RU,2022-02-07 03:04:41,54.5369,56.1517,16.09,86,100,4.47
238,Barbastro,ES,2022-02-07 03:04:42,42.0356,0.1269,36.14,62,96,1.81
239,Porkhov,RU,2022-02-07 03:04:42,57.765,29.5561,33.69,98,100,8.25
240,Hammerfest,NO,2022-02-07 03:04:43,70.6634,23.6821,23.45,68,0,14.97
241,Dikson,RU,2022-02-07 03:04:43,73.5069,80.5464,-13.05,97,100,16.33
242,Mujiayingzi,CN,2022-02-07 03:04:44,42.1167,118.7833,20.75,44,92,6.22
243,Faya,SA,2022-02-07 03:04:44,18.3851,42.4509,50.52,84,9,3.42
244,Bentiu,SS,2022-02-07 03:04:44,9.2333,29.8333,65.34,22,41,5.19
245,Boguchany,RU,2022-02-07 03:04:45,58.3814,97.4531,17.13,94,100,0.34
246,Winneba,GH,2022-02-07 03:04:45,5.3511,-0.6231,78.66,87,96,6.35
247,Cabo San Lucas,MX,2022-02-07 03:01:47,22.8909,-109.9124,67.51,74,0,4.21
248,San Ramon,US,2022-02-07 03:03:35,37.7799,-121.978,58.51,60,0,0.0
249,Redcar,GB,2022-02-07 03:04:46,54.6166,-1.06,36.45,64,8,8.01
250,Axim,GH,2022-02-07 03:04:47,4.8699,-2.2405,77.94,88,100,3.87
251,Houma,US,2022-02-07 03:01:16,29.5958,-90.7195,46.0,69,1,3.44
252,Okakarara,NA,2022-02-07 03:04:47,-20.5833,17.4333,64.65,85,89,4.81
253,Ambikapur,IN,2022-02-07 03:04:47,23.1167,83.2,60.67,25,0,1.3
254,La Libertad,EC,2022-02-07 03:04:48,-2.2333,-80.9,74.7,82,54,6.02
255,Ugoofaaru,MV,2022-02-07 03:04:48,5.6667,73.0,80.74,71,66,10.07
256,Akureyri,IS,2022-02-07 03:04:48,65.6835,-18.0878,15.82,98,100,5.91
257,San Ignacio,BZ,2022-02-07 03:04:49,17.1561,-89.0714,71.74,94,75,0.0
258,Hirara,JP,2022-02-07 03:00:43,24.8,125.2833,66.31,66,100,20.8
259,Collie,AU,2022-02-07 03:04:50,-33.3667,116.15,65.98,46,48,13.27
260,Oga,IT,2022-02-07 03:04:50,46.4631,10.347,32.54,93,100,5.55
261,Cockburn Town,TC,2022-02-07 03:02:39,21.4612,-71.1419,76.01,75,0,16.91
262,Mehamn,NO,2022-02-07 03:04:50,71.0357,27.8492,18.45,83,90,13.51
263,Ranong,TH,2022-02-07 03:04:51,9.9658,98.6348,84.56,61,99,4.32
264,Aldan,RU,2022-02-07 03:04:51,58.6031,125.3894,2.05,93,100,2.1
265,Marang,MY,2022-02-07 03:04:51,5.2056,103.2059,77.92,88,100,6.33
